"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",52.8,47.2,100,160,153,"153/160","Es sind <b>153 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>153 des 160 communes sont connus.","I risultati di <b>153 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",63,37,100,330,20,"20/330","Es sind <b>20 von 330</b> Gemeinden ausgezählt.","Le résultats de <b>20 des 330 communes sont connus.","I risultati di <b>20 dei 330 comuni sono noti."
3,"Luzern","Lucerne","Lucerna",50.6,49.4,50.6,80,80,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
4,"Uri","Uri","Uri",57.1,42.9,57.1,19,19,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
5,"Schwyz","Schwyz","Svitto",60.5,39.5,60.5,30,30,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",59.9,40.1,100,7,6,"6/7","Es sind <b>6 von 7</b> Gemeinden ausgezählt.","Le résultats de <b>6 des 7 communes sont connus.","I risultati di <b>6 dei 7 comuni sono noti."
7,"Nidwalden","Nidwald","Nidvaldo",58.6,41.4,58.6,11,11,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
8,"Glarus","Glaris","Glarona",55.2,44.8,55.2,3,3,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",46.4,53.6,46.4,126,126,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
11,"Solothurn","Soleure","Soletta",48.8,51.2,0,106,105,"105/106","Es sind <b>105 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>105 des 106 communes sont connus.","I risultati di <b>105 dei 106 comuni sono noti."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",39,61,0,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",52.4,47.6,100,86,79,"79/86","Es sind <b>79 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>79 des 86 communes sont connus.","I risultati di <b>79 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",58.8,41.2,100,75,56,"56/75","Es sind <b>56 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>56 des 75 communes sont connus.","I risultati di <b>56 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",56.4,43.6,56.4,101,101,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
19,"Aargau","Argovie","Argovia",53.8,46.2,53.8,197,197,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",57.6,42.4,100,80,74,"74/80","Es sind <b>74 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>74 des 80 communes sont connus.","I risultati di <b>74 dei 80 comuni sono noti."
21,"Tessin","Tessin","Ticino",54.4,45.6,100,106,104,"104/106","Es sind <b>104 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>104 des 106 communes sont connus.","I risultati di <b>104 dei 106 comuni sono noti."
22,"Waadt","Vaud","Vaud",41.3,58.7,0,300,297,"297/300","Es sind <b>297 von 300</b> Gemeinden ausgezählt.","Le résultats de <b>297 des 300 communes sont connus.","I risultati di <b>297 dei 300 comuni sono noti."
23,"Wallis","Valais","Vallese",53.8,46.2,100,122,119,"119/122","Es sind <b>119 von 122</b> Gemeinden ausgezählt.","Le résultats de <b>119 des 122 communes sont connus.","I risultati di <b>119 dei 122 comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",40.3,59.7,0,27,26,"26/27","Es sind <b>26 von 27</b> Gemeinden ausgezählt.","Le résultats de <b>26 des 27 communes sont connus.","I risultati di <b>26 dei 27 comuni sono noti."
25,"Genf","Genève","Ginevra",35.6,64.4,0,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",43.7,56.3,0,50,41,"41/50","Es sind <b>41 von 50</b> Gemeinden ausgezählt.","Le résultats de <b>41 des 50 communes sont connus.","I risultati di <b>41 dei 50 comuni sono noti."
