"Gemeinde_de","Text_de","Gemeinde_fr","Text_fr","Gemeinde_it","Text_it"
"Aeugst am Albis ZH","Mit 59 Prozent Ja-Stimmen hat eine Mehrheit der Abstimmenden in Aeugst am Albis für die Änderung des Mietrechts bei Untermiete gestimmt. Aeugst am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Aeugst am Albis (ZH)","La population d'Aeugst am Albis approuve à 59 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Aeugst am Albis a approuvé la réforme, contrairement à son canton.","Aeugst am Albis (ZH)","I cittadini di Aeugst am Albis hanno accolto la modifica del diritto di locazione (sublocazione) con il 59 per cento di voti a favore. Aeugst am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Affoltern am Albis ZH","50,2 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis haben Ja gesagt zur Pensionskassenreform. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Affoltern am Albis (ZH)","Les habitants d'Affoltern am Albis acceptent à 50,2 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Affoltern am Albis a approuvé la réforme, contrairement à son canton.","Affoltern am Albis (ZH)","Il 50,2 per cento degli elettori di Affoltern am Albis ha accolto la modifica del diritto di locazione (sublocazione). Affoltern am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Bonstetten ZH","50,4 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten haben Ja gesagt zur Pensionskassenreform. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Bonstetten (ZH)","Les habitants de Bonstetten acceptent à 50,4 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Bonstetten a approuvé la réforme, contrairement à son canton.","Bonstetten (ZH)","Il 50,4 per cento degli elettori di Bonstetten ha accolto la modifica del diritto di locazione (sublocazione). Bonstetten ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hausen am Albis ZH","53,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hausen am Albis haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent oui à  53,5 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Hausen am Albis a approuvé la réforme, contrairement à son canton.","Hausen am Albis (ZH)","Nel comune di Hausen am Albis, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 53,5 per cento di voti favorevoli. Hausen am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Hedingen ZH","Mit 711 Ja zu 612 Nein hat sich Hedingen für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 53,7 Prozent. Hedingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Hedingen (ZH)","Hedingen dit oui à 53,7 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Hedingen a approuvé la réforme, contrairement à son canton.","Hedingen (ZH)","Gli abitanti di Hedingen hanno accolto la modifica del diritto di locazione (sublocazione) con il 53,7 per cento di ""sì"". Hedingen ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Kappel am Albis ZH","56 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis haben Ja gesagt zur Pensionskassenreform. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Kappel am Albis (ZH)","Les habitants de Kappel am Albis acceptent à 56 pour cent l'assouplissement du droit du bail dans le domaine de la sous-location. Kappel am Albis a approuvé la réforme, contrairement à son canton.","Kappel am Albis (ZH)","Il 56 per cento degli elettori di Kappel am Albis ha accolto la modifica del diritto di locazione (sublocazione). Kappel am Albis ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Knonau ZH","Mit 433 Ja zu 357 Nein hat sich Knonau für die Änderung des Mietrechts bei Untermiete ausgesprochen. Das entspricht einem Ja-Stimmen-Anteil von 54,8 Prozent. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Knonau (ZH)","Knonau dit oui à 54,8 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Knonau a approuvé la réforme, contrairement à son canton.","Knonau (ZH)","Gli abitanti di Knonau hanno accolto la modifica del diritto di locazione (sublocazione) con il 54,8 per cento di ""sì"". Knonau ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Maschwanden ZH","Die Änderung des Mietrechts bei Untermiete ist in Maschwanden mit 57,5 Prozent der Stimmen angenommen worden. Maschwanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Maschwanden (ZH)","L'assouplissement du droit du bail dans le domaine de la sous-location est approuvé par 57,5 pour cent des votants à Maschwanden. Maschwanden a approuvé la réforme, contrairement à son canton.","Maschwanden (ZH)","A Maschwanden gli abitanti hanno accolto la modifica del diritto di locazione (sublocazione) con il 57,5 per cento di ""sì"". Maschwanden ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Mettmenstetten ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger von Mettmenstetten haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Mettmenstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent oui à  54,7 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Mettmenstetten a approuvé la réforme, contrairement à son canton.","Mettmenstetten (ZH)","Nel comune di Mettmenstetten, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 54,7 per cento di voti favorevoli. Mettmenstetten ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
"Obfelden ZH","55,5 Prozent der Stimmbürgerinnen und Stimmbürger von Obfelden haben sich für die Änderung des Mietrechts bei Untermiete ausgesprochen. Obfelden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Obfelden (ZH)","A Obfelden, les habitants disent oui à  55,5 pour cent à l'assouplissement du droit du bail dans le domaine de la sous-location. Obfelden a approuvé la réforme, contrairement à son canton.","Obfelden (ZH)","Nel comune di Obfelden, i cittadini hanno accolto la modifica del diritto di locazione (sublocazione) con il 55,5 per cento di voti favorevoli. Obfelden ha accolto il testo, contrariamente a quanto avvenuto a livello cantonale."
