"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende","Text_de","Text_fr","Text_it"
1,"Zürich","Zurich","Zurigo",51.6,48.4,100,160,126,"126/160","Es sind <b>126 von 160</b> Gemeinden ausgezählt.","Le résultats de <b>126 des 160 communes sont connus.","I risultati di <b>126 dei 160 comuni sono noti."
2,"Bern","Berne","Berna",0,0,50,330,0,"0/330","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
3,"Luzern","Lucerne","Lucerna",48.7,51.3,0,80,79,"79/80","Es sind <b>79 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>79 des 80 communes sont connus.","I risultati di <b>79 dei 80 comuni sono noti."
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
5,"Schwyz","Schwyz","Svitto",59.4,40.6,100,30,27,"27/30","Es sind <b>27 von 30</b> Gemeinden ausgezählt.","Le résultats de <b>27 des 30 communes sont connus.","I risultati di <b>27 dei 30 comuni sono noti."
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
7,"Nidwalden","Nidwald","Nidvaldo",57.2,42.8,57.2,11,11,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
8,"Glarus","Glaris","Glarona",53.4,46.6,53.4,3,3,,"Es sind alle Gemeinden ausgezählt.","Les résultats de toutes les communes sont connus.","Tutti i comuni sono noti."
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
10,"Freiburg","Fribourg","Friburgo",45.3,54.7,0,126,121,"121/126","Es sind <b>121 von 126</b> Gemeinden ausgezählt.","Le résultats de <b>121 des 126 communes sont connus.","I risultati di <b>121 dei 126 comuni sono noti."
11,"Solothurn","Soleure","Soletta",0,0,50,106,0,"0/106","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
12,"Basel-Stadt","Bâle-Ville","Basilea Città",34.5,65.5,0,3,0,"0/3","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",49.9,50.1,0,86,70,"70/86","Es sind <b>70 von 86</b> Gemeinden ausgezählt.","Le résultats de <b>70 des 86 communes sont connus.","I risultati di <b>70 dei 86 comuni sono noti."
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",0,0,50,20,0,"0/20","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,5,0,"0/5","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
17,"St. Gallen","Saint-Gall","San Gallo",59.1,40.9,100,75,38,"38/75","Es sind <b>38 von 75</b> Gemeinden ausgezählt.","Le résultats de <b>38 des 75 communes sont connus.","I risultati di <b>38 dei 75 comuni sono noti."
18,"Graubünden","Grisons","Grigioni",57.3,42.7,100,101,95,"95/101","Es sind <b>95 von 101</b> Gemeinden ausgezählt.","Le résultats de <b>95 des 101 communes sont connus.","I risultati di <b>95 dei 101 comuni sono noti."
19,"Aargau","Argovie","Argovia",52.1,47.9,100,197,192,"192/197","Es sind <b>192 von 197</b> Gemeinden ausgezählt.","Le résultats de <b>192 des 197 communes sont connus.","I risultati di <b>192 dei 197 comuni sono noti."
20,"Thurgau","Thurgovie","Turgovia",55.8,44.2,100,80,74,"74/80","Es sind <b>74 von 80</b> Gemeinden ausgezählt.","Le résultats de <b>74 des 80 communes sont connus.","I risultati di <b>74 dei 80 comuni sono noti."
21,"Tessin","Tessin","Ticino",52.9,47.1,100,106,90,"90/106","Es sind <b>90 von 106</b> Gemeinden ausgezählt.","Le résultats de <b>90 des 106 communes sont connus.","I risultati di <b>90 dei 106 comuni sono noti."
22,"Waadt","Vaud","Vaud",44.3,55.7,0,300,289,"289/300","Es sind <b>289 von 300</b> Gemeinden ausgezählt.","Le résultats de <b>289 des 300 communes sont connus.","I risultati di <b>289 dei 300 comuni sono noti."
23,"Wallis","Valais","Vallese",55.4,44.6,100,122,116,"116/122","Es sind <b>116 von 122</b> Gemeinden ausgezählt.","Le résultats de <b>116 des 122 communes sont connus.","I risultati di <b>116 dei 122 comuni sono noti."
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27","Es sind noch keine Gemeinden ausgezählt","Aucun résultat n'est encore connu.","Nessun risultato è ancora noto."
25,"Genf","Genève","Ginevra",32.6,67.4,0,45,0,"0/45","Die brieflichen Stimmen sind ausgezählt.","Les votes par correspondance ont été dépouillés.","I voti per corrispondenza sono stati scrutinati."
26,"Jura","Jura","Giura",44.9,55.1,0,50,18,"18/50","Es sind <b>18 von 50</b> Gemeinden ausgezählt.","Le résultats de <b>18 des 50 communes sont connus.","I risultati di <b>18 dei 50 comuni sono noti."
