"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,46.7,46.7,53.3,"Aire-la-Ville GE","NA NA"
6602,53,53,47,"Anières GE","NA NA"
6603,38.6,38.6,61.4,"Avully GE","NA NA"
6604,99.5,99.5,0.5,"Avusy GE","NA NA"
6605,47.6,47.6,52.4,"Bardonnex GE","NA NA"
6606,5.8,5.8,94.2,"Bellevue GE","NA NA"
6607,87.5,87.5,12.5,"Bernex GE","NA NA"
6608,60.8,60.8,39.2,"Carouge GE","NA NA"
6609,74.3,74.3,25.7,"Cartigny GE","NA NA"
6610,70.2,70.2,29.8,"Céligny GE","NA NA"
6611,64.2,64.2,35.8,"Chancy GE","NA NA"
6612,62.3,62.3,37.7,"Chêne-Bougeries GE","NA NA"
6613,59.3,59.3,40.7,"Chêne-Bourg GE","NA NA"
6614,37.9,37.9,62.1,"Choulex GE","NA NA"
6615,48,48,52,"Collex-Bossy GE","NA NA"
6616,66.6,66.6,33.4,"Collonge-Bellerive GE","NA NA"
6617,15.9,15.9,84.1,"Cologny GE","NA NA"
6618,51.8,51.8,48.2,"Confignon GE","NA NA"
6619,67.9,67.9,32.1,"Corsier GE","NA NA"
6620,96.5,96.5,3.5,"Dardagny GE","NA NA"
6621,89.5,89.5,10.5,"Genf GE","NA NA"
6622,40.3,40.3,59.7,"Genthod GE","NA NA"
6623,25.5,25.5,74.5,"Le Grand-Saconnex GE","NA NA"
6624,44,44,56,"Gy GE","NA NA"
6625,31.1,31.1,68.9,"Hermance GE","NA NA"
6626,30.2,30.2,69.8,"Jussy GE","NA NA"
6627,13.9,13.9,86.1,"Laconnex GE","NA NA"
6628,3.5,3.5,96.5,"Lancy GE","NA NA"
6629,92.8,92.8,7.2,"Meinier GE","NA NA"
6630,34.6,34.6,65.4,"Meyrin GE","NA NA"
6631,54,54,46,"Onex GE","NA NA"
6632,19.8,19.8,80.2,"Perly-Certoux GE","NA NA"
6633,70.3,70.3,29.7,"Plan-les-Ouates GE","NA NA"
6634,41.7,41.7,58.3,"Pregny-Chambésy GE","NA NA"
6635,14.4,14.4,85.6,"Presinge GE","NA NA"
6636,47.4,47.4,52.6,"Puplinge GE","NA NA"
6637,90.1,90.1,9.9,"Russin GE","NA NA"
6638,59.6,59.6,40.4,"Satigny GE","NA NA"
6639,40.7,40.7,59.3,"Soral GE","NA NA"
6640,33.5,33.5,66.5,"Thônex GE","NA NA"
6641,83.5,83.5,16.5,"Troinex GE","NA NA"
6642,33.1,33.1,66.9,"Vandoeuvres GE","NA NA"
6643,46.9,46.9,53.1,"Vernier GE","NA NA"
6644,70.1,70.1,29.9,"Versoix GE","NA NA"
6645,77.6,77.6,22.4,"Veyrier GE","NA NA"
