"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,22.6,22.6,77.4,"Aire-la-Ville (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 77,4 pour cent à Aire-la-Ville. Aire-la-Ville a rejeté l'arrêté, contrairement à son canton."
6602,42.2,42.2,57.8,"Anières (GE)","La population d'Anières rejette à 57,8 pour cent des voix la réforme en faveur de l'extension des autoroutes. Anières a rejeté l'arrêté, contrairement à son canton."
6603,39.3,39.3,60.7,"Avully (GE)","Les habitants d'Avully s'opposent à la réforme en faveur de l'extension des autoroutes par 60,7 pour cent des voix. Avully a rejeté l'arrêté, contrairement à son canton."
6604,17.5,17.5,82.5,"Avusy (GE)","A Avusy, les citoyens rejettent à 82,5 pour cent la réforme en faveur de l'extension des autoroutes. Avusy a rejeté l'arrêté, contrairement à son canton."
6605,42.6,42.6,57.4,"Bardonnex (GE)","La réforme en faveur de l'extension des autoroutes n'a pas trouvé grâce aux yeux des citoyens de Bardonnex. Ils ont refusé le texte à 57,4 pour cent. Bardonnex a rejeté l'arrêté, contrairement à son canton."
6606,69.3,69.3,30.7,"Bellevue (GE)","Bellevue dit oui à 69,3 pour cent à de la réforme en faveur de l'extension des autoroutes. Bellevue a approuvé l'arrêté, tout comme son canton."
6607,76.7,76.7,23.3,"Bernex (GE)","Bernex dit oui à 76,7 pour cent à de la réforme en faveur de l'extension des autoroutes. Bernex a approuvé l'arrêté, tout comme son canton."
6608,10,10,90,"Carouge (GE)","Les projets d'extension du réseau autoroutier n'ont pas convaincu à Carouge (GE). Les citoyens de la commune ont refusé le texte à 90 pour cent. Carouge (GE) a rejeté l'arrêté, contrairement à son canton."
6609,46.2,46.2,53.8,"Cartigny (GE)","C'est non à la réforme en faveur de l'extension des autoroutes à Cartigny. Les habitants ont refusé le texte à 53,8 pour cent. Cartigny a rejeté l'arrêté, contrairement à son canton."
6610,36.1,36.1,63.9,"Céligny (GE)","La population de Céligny rejette à 63,9 pour cent des voix la réforme en faveur de l'extension des autoroutes. Céligny a rejeté l'arrêté, contrairement à son canton."
6611,82,82,18,"Chancy (GE)","Les habitants de Chancy acceptent avec 82 pour cent de oui la réforme en faveur de l'extension des autoroutes. Chancy a approuvé l'arrêté, tout comme son canton."
6612,69.6,69.6,30.4,"Chêne-Bougeries (GE)","La population de Chêne-Bougeries approuve à 69,6 pour cent la réforme en faveur de l'extension des autoroutes. Chêne-Bougeries a approuvé l'arrêté, tout comme son canton."
6613,52.5,52.5,47.5,"Chêne-Bourg (GE)","La population de Chêne-Bourg approuve à 52,5 pour cent la réforme en faveur de l'extension des autoroutes. Chêne-Bourg a approuvé l'arrêté, tout comme son canton."
6614,51.1,51.1,48.9,"Choulex (GE)","L'extension du réseau des autoroutes est approuvée à Choulex par 51,1 pour cent des votants. Choulex a approuvé l'arrêté, tout comme son canton."
6615,56.6,56.6,43.4,"Collex-Bossy (GE)","A Collex-Bossy, les habitants disent oui à  56,6 pour cent à la réforme favorable à l'extension des projets autoroutiers. Collex-Bossy a approuvé l'arrêté, tout comme son canton."
6616,88.8,88.8,11.2,"Collonge-Bellerive (GE)","L'extension du réseau des autoroutes est approuvée à Collonge-Bellerive par 88,8 pour cent des votants. Collonge-Bellerive a approuvé l'arrêté, tout comme son canton."
6617,39.3,39.3,60.7,"Cologny (GE)","A Cologny, les citoyens rejettent à 60,7 pour cent la réforme en faveur de l'extension des autoroutes. Cologny a rejeté l'arrêté, contrairement à son canton."
6618,51.7,51.7,48.3,"Confignon (GE)","L'extension du réseau des autoroutes est approuvée à Confignon par 51,7 pour cent des votants. Confignon a approuvé l'arrêté, tout comme son canton."
6619,19.7,19.7,80.3,"Corsier (GE)","Les habitants de Corsier (GE) s'opposent à la réforme en faveur de l'extension des autoroutes par 80,3 pour cent des voix. Corsier (GE) a rejeté l'arrêté, contrairement à son canton."
6620,22.4,22.4,77.6,"Dardagny (GE)","Les habitants de Dardagny s'opposent à la réforme en faveur de l'extension des autoroutes par 77,6 pour cent des voix. Dardagny a rejeté l'arrêté, contrairement à son canton."
6621,71.3,71.3,28.7,"Genève (GE)","Les habitants de Genève acceptent avec 71,3 pour cent de oui la réforme en faveur de l'extension des autoroutes. Genève a approuvé l'arrêté, tout comme son canton."
6622,58.9,58.9,41.1,"Genthod (GE)","La réforme en faveur de l'extension des autoroutes passe la rampe avec 58,9 pour cent de oui à Genthod. Genthod a approuvé l'arrêté, tout comme son canton."
6623,54.4,54.4,45.6,"Le Grand-Saconnex (GE)","L'extension du réseau des autoroutes est approuvée au Grand-Saconnex par 54,4 pour cent des votants. Le Grand-Saconnex a approuvé l'arrêté, tout comme son canton."
6624,47.6,47.6,52.4,"Gy (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 52,4 pour cent à Gy. Gy a rejeté l'arrêté, contrairement à son canton."
6625,35.1,35.1,64.9,"Hermance (GE)","C'est non à la réforme en faveur de l'extension des autoroutes à Hermance. Les habitants ont refusé le texte à 64,9 pour cent. Hermance a rejeté l'arrêté, contrairement à son canton."
6626,50.8,50.8,49.2,"Jussy (GE)","Les habitants de Jussy soutiennent à 50,8 pour cent la réforme en faveur de l'extension des autoroutes. Jussy a approuvé l'arrêté, tout comme son canton."
6627,43.7,43.7,56.3,"Laconnex (GE)","La population de Laconnex rejette à 56,3 pour cent des voix la réforme en faveur de l'extension des autoroutes. Laconnex a rejeté l'arrêté, contrairement à son canton."
6628,33.7,33.7,66.3,"Lancy (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 66,3 pour cent à Lancy. Lancy a rejeté l'arrêté, contrairement à son canton."
6629,18.8,18.8,81.2,"Meinier (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 81,2 pour cent à Meinier. Meinier a rejeté l'arrêté, contrairement à son canton."
6630,98.6,98.6,1.4,"Meyrin (GE)","La réforme en faveur de l'extension des autoroutes passe la rampe avec 98,6 pour cent de oui à Meyrin. Le plus fort pourcentage de oui du canton de Genève a été obtenu à Meyrin."
6631,33.7,33.7,66.3,"Onex (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 66,3 pour cent à Onex. Onex a rejeté l'arrêté, contrairement à son canton."
6632,66.3,66.3,33.7,"Perly-Certoux (GE)","Les habitants de Perly-Certoux acceptent avec 66,3 pour cent de oui la réforme en faveur de l'extension des autoroutes. Perly-Certoux a approuvé l'arrêté, tout comme son canton."
6633,23.1,23.1,76.9,"Plan-les-Ouates (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 76,9 pour cent à Plan-les-Ouates. Plan-les-Ouates a rejeté l'arrêté, contrairement à son canton."
6634,39.7,39.7,60.3,"Pregny-Chambésy (GE)","La réforme en faveur de l'extension des autoroutes est refusée à 60,3 pour cent à Pregny-Chambésy. Pregny-Chambésy a rejeté l'arrêté, contrairement à son canton."
6635,41.7,41.7,58.3,"Presinge (GE)","La réforme en faveur de l'extension des autoroutes n'a pas trouvé grâce aux yeux des citoyens de Presinge. Ils ont refusé le texte à 58,3 pour cent. Presinge a rejeté l'arrêté, contrairement à son canton."
6636,37.7,37.7,62.3,"Puplinge (GE)","La population de Puplinge rejette à 62,3 pour cent des voix la réforme en faveur de l'extension des autoroutes. Puplinge a rejeté l'arrêté, contrairement à son canton."
6637,46.2,46.2,53.8,"Russin (GE)","Les projets d'extension du réseau autoroutier n'ont pas convaincu à Russin. Les citoyens de la commune ont refusé le texte à 53,8 pour cent. Russin a rejeté l'arrêté, contrairement à son canton."
6638,12.1,12.1,87.9,"Satigny (GE)","Les habitants de Satigny s'opposent à la réforme en faveur de l'extension des autoroutes par 87,9 pour cent des voix. Satigny a rejeté l'arrêté, contrairement à son canton."
6639,53.6,53.6,46.4,"Soral (GE)","La réforme en faveur de l'extension des autoroutes passe la rampe avec 53,6 pour cent de oui à Soral. Soral a approuvé l'arrêté, tout comme son canton."
6640,4.9,4.9,95.1,"Thônex (GE)","Les habitants de Thônex s'opposent à la réforme en faveur de l'extension des autoroutes par 95,1 pour cent des voix. Le plus fort pourcentage de non du canton de Genève a été obtenu à Thônex."
6641,32.4,32.4,67.6,"Troinex (GE)","C'est non à la réforme en faveur de l'extension des autoroutes à Troinex. Les habitants ont refusé le texte à 67,6 pour cent. Troinex a rejeté l'arrêté, contrairement à son canton."
6642,11.1,11.1,88.9,"Vandoeuvres (GE)","Les habitants de Vandoeuvres s'opposent à la réforme en faveur de l'extension des autoroutes par 88,9 pour cent des voix. Vandoeuvres a rejeté l'arrêté, contrairement à son canton."
6643,78.2,78.2,21.8,"Vernier (GE)","Vernier dit oui à 78,2 pour cent à de la réforme en faveur de l'extension des autoroutes. Vernier a approuvé l'arrêté, tout comme son canton."
6644,86.3,86.3,13.7,"Versoix (GE)","A Versoix, les habitants disent oui à  86,3 pour cent à la réforme favorable à l'extension des projets autoroutiers. Versoix a approuvé l'arrêté, tout comme son canton."
6645,41.3,41.3,58.7,"Veyrier (GE)","Les habitants de Veyrier s'opposent à la réforme en faveur de l'extension des autoroutes par 58,7 pour cent des voix. Veyrier a rejeté l'arrêté, contrairement à son canton."
