"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6404,74.1,74.1,25.9,"Boudry (NE)","NA NA"
6408,50.8,50.8,49.2,"Cortaillod (NE)","NA NA"
6413,94.9,94.9,5.1,"Rochefort (NE)","NA NA"
6416,47.1,47.1,52.9,"Milvignes (NE)","NA NA"
6417,1.5,1.5,98.5,"La Grande Béroche (NE)","NA NA"
6421,64.3,64.3,35.7,"La Chaux-de-Fonds (NE)","NA NA"
6422,43.7,43.7,56.3,"Les Planchettes (NE)","NA NA"
6423,36.2,36.2,63.8,"La Sagne (NE)","NA NA"
6432,67.3,67.3,32.7,"La (BréviNE)","NA NA"
6433,22.7,22.7,77.3,"Brot-Plamboz (NE)","NA NA"
6434,63.2,63.2,36.8,"Le Cerneux-Péquignot (NE)","NA NA"
6435,38.5,38.5,61.5,"La Chaux-du-Milieu (NE)","NA NA"
6436,17.1,17.1,82.9,"Le Locle (NE)","NA NA"
6437,99.1,99.1,0.9,"Les Ponts-de-Martel (NE)","NA NA"
6451,61.6,61.6,38.4,"Cornaux (NE)","NA NA"
6452,64.6,64.6,35.4,"Cressier (NE)","NA NA"
6453,95.9,95.9,4.1,"Enges (NE)","NA NA"
6454,90,90,10,"Hauterive (NE)","NA NA"
6455,59.2,59.2,40.8,"Le Landeron (NE)","NA NA"
6456,3.5,3.5,96.5,"Lignières (NE)","NA NA"
6458,45.8,45.8,54.2,"Neuchâtel (NE)","NA NA"
6459,79,79,21,"Saint-Blaise (NE)","NA NA"
6461,65.9,65.9,34.1,"La Tène (NE)","NA NA"
6487,71.6,71.6,28.4,"Val-de-Ruz (NE)","NA NA"
6504,23.8,23.8,76.2,"La Côte-aux-Fées (NE)","NA NA"
6511,66.5,66.5,33.5,"Les Verrières (NE)","NA NA"
6512,53.3,53.3,46.7,"Val-de-Travers (NE)","NA NA"
