"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,93.6,93.6,6.4,"Aire-la-Ville (GE)","NA NA"
6602,36.3,36.3,63.7,"Anières (GE)","NA NA"
6603,32.9,32.9,67.1,"Avully (GE)","NA NA"
6604,38.4,38.4,61.6,"Avusy (GE)","NA NA"
6605,31,31,69,"Bardonnex (GE)","NA NA"
6606,2.9,2.9,97.1,"Bellevue (GE)","NA NA"
6607,84.5,84.5,15.5,"Bernex (GE)","Text NA"
6608,37.1,37.1,62.9,"Carouge (GE)","NA NA"
6609,70.1,70.1,29.9,"Cartigny (GE)","NA NA"
6610,92.9,92.9,7.1,"Céligny (GE)","NA NA"
6611,17.9,17.9,82.1,"Chancy (GE)","NA NA"
6612,51.4,51.4,48.6,"Chêne-Bougeries (GE)","NA NA"
6613,43.8,43.8,56.2,"Chêne-Bourg (GE)","NA NA"
6614,47,47,53,"Choulex (GE)","NA NA"
6615,83,83,17,"Collex-Bossy (GE)","NA NA"
6616,62.5,62.5,37.5,"Collonge-Bellerive (GE)","NA NA"
6617,34.8,34.8,65.2,"Cologny (GE)","NA NA"
6618,86.6,86.6,13.4,"Confignon (GE)","Text NA"
6619,1.5,1.5,98.5,"Corsier (GE)","NA NA"
6620,46,46,54,"Dardagny (GE)","NA NA"
6621,53.5,53.5,46.5,"Ginevra (GE)","NA NA"
6622,48.3,48.3,51.7,"Genthod (GE)","NA NA"
6623,51.7,51.7,48.3,"Le Grand-Saconnex (GE)","Text NA"
6624,23,23,77,"Gy (GE)","NA NA"
6625,56.9,56.9,43.1,"Hermance (GE)","NA NA"
6626,67.6,67.6,32.4,"Jussy (GE)","NA NA"
6627,66.5,66.5,33.5,"Laconnex (GE)","NA NA"
6628,47.2,47.2,52.8,"Lancy (GE)","NA NA"
6629,49.8,49.8,50.2,"Meinier (GE)","NA NA"
6630,0,0,100,"Meyrin (GE)","NA NA"
6631,73.1,73.1,26.9,"Onex (GE)","NA NA"
6632,87.5,87.5,12.5,"Perly-Certoux (GE)","NA NA"
6633,29.5,29.5,70.5,"Plan-les-Ouates (GE)","NA NA"
6634,35,35,65,"Pregny-Chambésy (GE)","NA NA"
6635,5.6,5.6,94.4,"Presinge (GE)","NA NA"
6636,62.9,62.9,37.1,"Puplinge (GE)","NA NA"
6637,0.6,0.6,99.4,"Russin (GE)","NA NA"
6638,43.3,43.3,56.7,"Satigny (GE)","NA NA"
6639,72.4,72.4,27.6,"Soral (GE)","Text NA"
6640,8.1,8.1,91.9,"Thônex (GE)","NA NA"
6641,25.5,25.5,74.5,"Troinex (GE)","NA NA"
6642,19.8,19.8,80.2,"Vandoeuvres (GE)","NA NA"
6643,25.2,25.2,74.8,"Vernier (GE)","NA NA"
6644,90.8,90.8,9.2,"Versoix (GE)","NA NA"
6645,31,31,69,"Veyrier (GE)","NA NA"
